Division,District,Upazila,Mean_Arsenic,Median_Arsenic,Lower_Quartile_Arsenic,Upper_Quartile_Arsenic,Data_Points,Risk
Khulna,khulna,chuadanga,,,,,,1
barisal,barguna,amtali,,,,,,1
barisal,barguna,bamna,,,,,,1
barisal,barguna,barguna sadar,,,,,,1
barisal,barguna,betagi,,,,,,1
barisal,barguna,patharghata,,,,,,1
barisal,barisal,agailjhara,,,,,,1
barisal,barisal,babuganj,,,,,,1
barisal,barisal,bakerganj,,,,,,1
barisal,barisal,banari para,,,,,,1
barisal,barisal,barisal sadar (kotwali),,,,,,1
barisal,barisal,brslsdr(kotwali,,,,,,1
barisal,barisal,gaurnadi,,,,,,1
barisal,barisal,hizla,,,,,,1
barisal,barisal,mehendiganj,,,,,,1
barisal,barisal,muladi,,,,,,1
barisal,barisal,wazirpur,,,,,,1
barisal,bhola,bhola sadar,,,,,,1
barisal,bhola,burhanuddin,,,,,,1
barisal,bhola,char fasson,,,,,,1
barisal,bhola,daulatkhan,,,,,,1
barisal,bhola,lalmohan,,,,,,1
barisal,bhola,manpura,,,,,,1
barisal,bhola,tazumuddin,,,,,,1
barisal,jhalokati,jhalokati sadar,,,,,,1
barisal,jhalokati,kanthalia,,,,,,1
barisal,jhalokati,nalchity,,,,,,1
barisal,jhalokati,rajapur,,,,,,1
barisal,patuakhali,bauphal,,,,,,1
barisal,patuakhali,dashmina,,,,,,1
barisal,patuakhali,dumki (patuakhali sadar),,,,,,1
barisal,patuakhali,galachipa,,,,,,1
barisal,patuakhali,kala para,,,,,,1
barisal,patuakhali,mirzaganj,,,,,,1
barisal,patuakhali,patuakhali sadar,,,,,,1
barisal,pirojpur,bhandaria,,,,,,1
barisal,pirojpur,kawkhali,,,,,,1
barisal,pirojpur,mathbaria,,,,,,1
barisal,pirojpur,nazirpur,,,,,,1
barisal,pirojpur,nesarabad (swarupkati),,,,,,1
barisal,pirojpur,pirojpur sadar,,,,,,1
barisal,pirojpur,zianagar (pirojpur sadar),,,,,,1
chittagon,chittagong,sitakunda,,,,,,1
chittagong,bandarban,alikadam,,,,,,1
chittagong,bandarban,bandarban sadar,,,,,,1
chittagong,bandarban,lama,,,,,,1
chittagong,bandarban,naikhongchhari,,,,,,1
chittagong,bandarban,rowangchhari,,,,,,1
chittagong,bandarban,ruma,,,,,,1
chittagong,bandarban,thanchi,,,,,,1
chittagong,brahamanbaria,akhaura,,,,,,1
chittagong,brahamanbaria,ashuganj,,,,,,1
chittagong,brahamanbaria,banchharampur,,,,,,1
chittagong,brahamanbaria,bijoynagar,,,,,,1
chittagong,brahamanbaria,brahmanbaria sadar,,,,,,1
chittagong,brahamanbaria,kasba,,,,,,1
chittagong,brahamanbaria,nabinagar,,,,,,1
chittagong,brahamanbaria,nasirnagar,,,,,,1
chittagong,brahamanbaria,sarail,,,,,,1
chittagong,chandpur,chandpur sadar,78.76666667,1.8,1.15,117.9,3,3
chittagong,chandpur,faridganj,,,,,,1
chittagong,chandpur,haim char,,,,,,1
chittagong,chandpur,hajiganj,,,,,,1
chittagong,chandpur,kachua,,,,,,1
chittagong,chandpur,matlab,,,,,,1
chittagong,chandpur,matlab dakshin,,,,,,1
chittagong,chandpur,matlab uttar,,,,,,1
chittagong,chandpur,shahrasti,,,,,,1
chittagong,chittagong,anowara,,,,,,1
chittagong,chittagong,banshkhali,,,,,,1
chittagong,chittagong,boalkhali,,,,,,1
chittagong,chittagong,chandanaish,,,,,,1
chittagong,chittagong,fatikchhari,,,,,,1
chittagong,chittagong,hathazari,,,,,,1
chittagong,chittagong,lohagara,,,,,,1
chittagong,chittagong,mirsharai,,,,,,1
chittagong,chittagong,patiya,,,,,,1
chittagong,chittagong,rangunia,,,,,,1
chittagong,chittagong,raozan,,,,,,1
chittagong,chittagong,sandwip,,,,,,1
chittagong,chittagong,satkania,,,,,,1
chittagong,chittagong,sitakunda,,,,,,1
chittagong,comilla,barura,,,,,,1
chittagong,comilla,brahman para,,,,,,1
chittagong,comilla,burichang,,,,,,1
chittagong,comilla,chandina,,,,,,1
chittagong,comilla,chauddagram,,,,,,1
chittagong,comilla,comilla adarsha sadar,,,,,,1
chittagong,comilla,comilla sadar dakshin,,,,,,1
chittagong,comilla,daudkandi,,,,,,1
chittagong,comilla,debidwar,,,,,,1
chittagong,comilla,homna,,,,,,1
chittagong,comilla,laksam,,,,,,1
chittagong,comilla,manoharganj,,,,,,1
chittagong,comilla,meghna,,,,,,1
chittagong,comilla,muradnagar,,,,,,1
chittagong,comilla,nangalkot,,,,,,1
chittagong,comilla,titas,,,,,,1
chittagong,cox's bazar,chakaria,,,,,,1
chittagong,cox's bazar,cox's bazar sadar,,,,,,1
chittagong,cox's bazar,kutubdia,,,,,,1
chittagong,cox's bazar,maheshkhali,,,,,,1
chittagong,cox's bazar,pekua,,,,,,1
chittagong,cox's bazar,ramu,,,,,,1
chittagong,cox's bazar,teknaf,,,,,,1
chittagong,cox's bazar,ukhia,,,,,,1
chittagong,feni,chhagalnaiya,,,,,,1
chittagong,feni,daganbhuiyan,,,,,,1
chittagong,feni,feni sadar,,,,,,1
chittagong,feni,fulgazi,,,,,,1
chittagong,feni,parshuram,,,,,,1
chittagong,feni,sonagazi,,,,,,1
chittagong,khagrachhari,dighinala,,,,,,1
chittagong,khagrachhari,khagrachhari sadar,,,,,,1
chittagong,khagrachhari,lakshmichhari,,,,,,1
chittagong,khagrachhari,mahalchhari,,,,,,1
chittagong,khagrachhari,manikchhari,,,,,,1
chittagong,khagrachhari,matiranga,,,,,,1
chittagong,khagrachhari,panchhari,,,,,,1
chittagong,khagrachhari,ramgarh,,,,,,1
chittagong,lakshmipur,kamalnagar,,,,,,1
chittagong,lakshmipur,lakshmipur sadar,,,,,,1
chittagong,lakshmipur,ramganj,,,,,,1
chittagong,lakshmipur,ramgati,,,,,,1
chittagong,lakshmipur,roypur,,,,,,1
chittagong,noakhali,begumganj,,,,,,1
chittagong,noakhali,chatkhil,,,,,,1
chittagong,noakhali,companiganj,,,,,,1
chittagong,noakhali,hatiya,,,,,,1
chittagong,noakhali,kabirhat,,,,,,1
chittagong,noakhali,noakhali sadar (sudharam),,,,,,1
chittagong,noakhali,senbagh,,,,,,1
chittagong,noakhali,sonaimuri,,,,,,1
chittagong,noakhali,subarnachar,,,,,,1
chittagong,rangamati,baghai chhari,,,,,,1
chittagong,rangamati,barkal,,,,,,1
chittagong,rangamati,belai chhari,,,,,,1
chittagong,rangamati,jurai chhari,,,,,,1
chittagong,rangamati,kaptai,,,,,,1
chittagong,rangamati,kawkhali (betbunia),,,,,,1
chittagong,rangamati,langadu,,,,,,1
chittagong,rangamati,naniarchar,,,,,,1
chittagong,rangamati,rajasthali,,,,,,1
chittagong,rangamati,rangamati sadar,,,,,,1
dhaka,dhaka,,,,,,,1
dhaka,dhaka,dhamrai,,,,,,1
dhaka,dhaka,dohar,,,,,,1
dhaka,dhaka,keraniganj,,,,,,1
dhaka,dhaka,nawabganj,,,,,,1
dhaka,dhaka,savar,,,,,,1
dhaka,faridpur,alfadanga,,,,,,1
dhaka,faridpur,bhanga,,,,,,1
dhaka,faridpur,boalmari,,,,,,1
dhaka,faridpur,char bhadrasan,,,,,,1
dhaka,faridpur,faridpur sadar,78.02340426,50,7.5,100,47,3
dhaka,faridpur,madhukhali,,,,,,1
dhaka,faridpur,nagarkanda,,,,,,1
dhaka,faridpur,sadarpur,,,,,,1
dhaka,faridpur,saltha,,,,,,1
dhaka,gazipur,gazipur sadar,,,,,,1
dhaka,gazipur,kaliakair,,,,,,1
dhaka,gazipur,kaliganj,,,,,,1
dhaka,gazipur,kapasia,,,,,,1
dhaka,gazipur,sreepur,,,,,,1
dhaka,gopalganj,gopalganj sadar,60,62,44.45,76.55,3,3
dhaka,gopalganj,kashiani,,,,,,1
dhaka,gopalganj,kotali para,,,,,,1
dhaka,gopalganj,muksudpur,,,,,,1
dhaka,gopalganj,tungi para,,,,,,1
dhaka,kishoreganj,austagram,,,,,,1
dhaka,kishoreganj,bajitpur,,,,,,1
dhaka,kishoreganj,bhairab,,,,,,1
dhaka,kishoreganj,hossainpur,,,,,,1
dhaka,kishoreganj,itna,,,,,,1
dhaka,kishoreganj,karimganj,92,92,92,92,1,3
dhaka,kishoreganj,katiadi,,,,,,1
dhaka,kishoreganj,kishoreganj sadar,,,,,,1
dhaka,kishoreganj,kuliar char,,,,,,1
dhaka,kishoreganj,mithamain,,,,,,1
dhaka,kishoreganj,nikli,,,,,,1
dhaka,kishoreganj,pakundia,,,,,,1
dhaka,kishoreganj,tarail,,,,,,1
dhaka,madaripur,kalkini,,,,,,1
dhaka,madaripur,madaripur sadar,,,,,,1
dhaka,madaripur,rajoir,,,,,,1
dhaka,madaripur,shib char,,,,,,1
dhaka,manikganj,daulatpur,,,,,,1
dhaka,manikganj,ghior,,,,,,1
dhaka,manikganj,harirampur,65,65,65,65,1,3
dhaka,manikganj,manikganj sadar,,,,,,1
dhaka,manikganj,saturia,,,,,,1
dhaka,manikganj,shibalaya,,,,,,1
dhaka,manikganj,singair,,,,,,1
dhaka,munshiganj,gazaria,,,,,,1
dhaka,munshiganj,lohajang,,,,,,1
dhaka,munshiganj,munshiganj sadar,,,,,,1
dhaka,munshiganj,serajdikhan,,,,,,1
dhaka,munshiganj,sreenagar,,,,,,1
dhaka,munshiganj,tongibari,,,,,,1
dhaka,narayanganj,araihazar,,,,,,1
dhaka,narayanganj,bandar,,,,,,1
dhaka,narayanganj,narayanganj sadar,,,,,,1
dhaka,narayanganj,rupganj,,,,,,1
dhaka,narayanganj,sonargaon,,,,,,1
dhaka,narsingdi,belabo,,,,,,1
dhaka,narsingdi,manohardi,,,,,,1
dhaka,narsingdi,narsingdi sadar,,,,,,1
dhaka,narsingdi,palash,,,,,,1
dhaka,narsingdi,roypura,,,,,,1
dhaka,narsingdi,shibpur,,,,,,1
dhaka,rajbari,balia kandi,,,,,,1
dhaka,rajbari,goalandaghat,,,,,,1
dhaka,rajbari,kalukhali,,,,,,1
dhaka,rajbari,pangsha,,,,,,1
dhaka,rajbari,rajbari sadar,,,,,,1
dhaka,shariatpur,bhedarganj,,,,,,1
dhaka,shariatpur,damudya,,,,,,1
dhaka,shariatpur,gosairhat,,,,,,1
dhaka,shariatpur,naria,,,,,,1
dhaka,shariatpur,shariatpur sadar,,,,,,1
dhaka,shariatpur,shariatpur sadar (palong),,,,,,1
dhaka,shariatpur,zanjira,,,,,,1
dhaka,tangail,basail,,,,,,1
dhaka,tangail,bhuapur,,,,,,1
dhaka,tangail,delduar,,,,,,1
dhaka,tangail,dhanbari,,,,,,1
dhaka,tangail,ghatail,59,59,59,59,2,3
dhaka,tangail,gopalpur,,,,,,1
dhaka,tangail,kalihati,,,,,,1
dhaka,tangail,madhupur,,,,,,1
dhaka,tangail,mirzapur,,,,,,1
dhaka,tangail,nagarpur,,,,,,1
dhaka,tangail,sakhipur,,,,,,1
dhaka,tangail,tangail sadar,,,,,,1
khulna,bagerhat,bagerhat sadar,,,,,,1
khulna,bagerhat,chitalmari,,,,,,1
khulna,bagerhat,fakirhat,,,,,,1
khulna,bagerhat,kachua,,,,,,1
khulna,bagerhat,mollahat,,,,,,1
khulna,bagerhat,mongla,,,,,,1
khulna,bagerhat,morrelganj,,,,,,1
khulna,bagerhat,rampal,,,,,,1
khulna,bagerhat,sarankhola,,,,,,1
khulna,chuadanga,alamdanga,,,,,,1
khulna,chuadanga,chuadanga sadar,,,,,,1
khulna,chuadanga,damurhuda,64.6,64.6,64.6,64.6,1,3
khulna,chuadanga,jiban nagar,,,,,,1
khulna,jessore,abhaynagar,,,,,,1
khulna,jessore,bagher para,,,,,,1
khulna,jessore,chaugachha,,,,,,1
khulna,jessore,jhikargachha,,,,,,1
khulna,jessore,keshabpur,,,,,,1
khulna,jessore,kotwali,,,,,,1
khulna,jessore,manirampur,,,,,,1
khulna,jessore,sharsha,,,,,,1
khulna,jhenaidah,harinakunda,,,,,,1
khulna,jhenaidah,jhenaidah sadar,,,,,,1
khulna,jhenaidah,kaliganj,,,,,,1
khulna,jhenaidah,kotchandpur,,,,,,1
khulna,jhenaidah,maheshpur,74,74,74,74,1,3
khulna,jhenaidah,shailkupa,,,,,,1
khulna,khulna,batiaghata,,,,,,1
khulna,khulna,dacope,58.56666667,0.7,0.35,87.85,3,3
khulna,khulna,daulatpur,,,,,,1
khulna,khulna,dighalia,,,,,,1
khulna,khulna,dumuria,,,,,,1
khulna,khulna,koyra,,,,,,1
khulna,khulna,paikgachha,,,,,,1
khulna,khulna,phultala,,,,,,1
khulna,khulna,rupsa,,,,,,1
khulna,khulna,terokhada,,,,,,1
khulna,kushtia,bheramara,,,,,,1
khulna,kushtia,daulatpur,,,,,,1
khulna,kushtia,khoksa,,,,,,1
khulna,kushtia,kumarkhali,,,,,,1
khulna,kushtia,kushtia sadar,,,,,,1
khulna,kushtia,mirpur,,,,,,1
khulna,magura,magura sadar,,,,,,1
khulna,magura,mohammadpur,,,,,,1
khulna,magura,shalikha,78,78,78,78,1,3
khulna,magura,sreepur,,,,,,1
khulna,meherpur,gangni,,,,,,1
khulna,meherpur,meherpur sadar,,,,,,1
khulna,meherpur,mujib nagar,228,228,228,228,2,3
khulna,narail,kalia,,,,,,1
khulna,narail,lohagara,,,,,,1
khulna,narail,narail sadar,,,,,,1
khulna,satkhira,assasuni,,,,,,1
khulna,satkhira,debhata,,,,,,1
khulna,satkhira,kalaroa,74.94,0.5,0.1,187,5,3
khulna,satkhira,kaliganj,,,,,,1
khulna,satkhira,satkhira sadar,,,,,,1
khulna,satkhira,shyamnagar,,,,,,1
khulna,satkhira,tala,,,,,,1
mymensing,jamalpur,melandaha,,,,,,1
mymensingh,jamalpur,bakshiganj,,,,,,1
mymensingh,jamalpur,dewanganj,,,,,,1
mymensingh,jamalpur,islampur,,,,,,1
mymensingh,jamalpur,jamalpur sadar,,,,,,1
mymensingh,jamalpur,madarganj,,,,,,1
mymensingh,jamalpur,melandaha,,,,,,1
mymensingh,jamalpur,sarishabari,,,,,,1
mymensingh,mymensingh,bhaluka,,,,,,1
mymensingh,mymensingh,dhobaura,,,,,,1
mymensingh,mymensingh,fulbaria,,,,,,1
mymensingh,mymensingh,gaffargaon,,,,,,1
mymensingh,mymensingh,gauripur,,,,,,1
mymensingh,mymensingh,haluaghat,,,,,,1
mymensingh,mymensingh,ishwarganj,,,,,,1
mymensingh,mymensingh,muktagachha,,,,,,1
mymensingh,mymensingh,mymensingh sadar,,,,,,1
mymensingh,mymensingh,nandail,,,,,,1
mymensingh,mymensingh,phulpur,,,,,,1
mymensingh,mymensingh,trishal,,,,,,1
mymensingh,netrakona,atpara,,,,,,1
mymensingh,netrakona,barhatta,,,,,,1
mymensingh,netrakona,durgapur,,,,,,1
mymensingh,netrakona,kalmakanda,262,262,262,262,1,3
mymensingh,netrakona,kendua,,,,,,1
mymensingh,netrakona,khaliajuri,,,,,,1
mymensingh,netrakona,madan,,,,,,1
mymensingh,netrakona,mohanganj,92.3,94,72.625,118.5,8,3
mymensingh,netrakona,netrokona sadar,,,,,,1
mymensingh,netrakona,purbadhala,,,,,,1
mymensingh,sherpur,jhenaigati,,,,,,1
mymensingh,sherpur,nakla,,,,,,1
mymensingh,sherpur,nalitabari,,,,,,1
mymensingh,sherpur,sherpur sadar,,,,,,1
mymensingh,sherpur,sreebardi,,,,,,1
rajshahi,bogra,adamdighi,,,,,,1
rajshahi,bogra,bogra sadar,,,,,,1
rajshahi,bogra,dhunat,,,,,,1
rajshahi,bogra,dhupchanchia,,,,,,1
rajshahi,bogra,gabtali,,,,,,1
rajshahi,bogra,kahaloo,,,,,,1
rajshahi,bogra,nandigram,,,,,,1
rajshahi,bogra,sariakandi,,,,,,1
rajshahi,bogra,shajahanpur,,,,,,1
rajshahi,bogra,sherpur,,,,,,1
rajshahi,bogra,shibganj,,,,,,1
rajshahi,bogra,sonatola,,,,,,1
rajshahi,bogra,sultanganj,,,,,,1
rajshahi,joypurhat,akkelpur,,,,,,1
rajshahi,joypurhat,joypurhat sadar,,,,,,1
rajshahi,joypurhat,kalai,,,,,,1
rajshahi,joypurhat,khetlal,,,,,,1
rajshahi,joypurhat,panchbibi,,,,,,1
rajshahi,naogaon,atrai,,,,,,1
rajshahi,naogaon,badalgachhi,,,,,,1
rajshahi,naogaon,dhamoirhat,,,,,,1
rajshahi,naogaon,mahadebpur,,,,,,1
rajshahi,naogaon,manda,,,,,,1
rajshahi,naogaon,naogaon sadar,,,,,,1
rajshahi,naogaon,niamatpur,,,,,,1
rajshahi,naogaon,patnitala,,,,,,1
rajshahi,naogaon,porsha,,,,,,1
rajshahi,naogaon,raninagar,,,,,,1
rajshahi,naogaon,sapahar,,,,,,1
rajshahi,natore,bagati para,,,,,,1
rajshahi,natore,baraigram,,,,,,1
rajshahi,natore,gurudaspur,,,,,,1
rajshahi,natore,lalpur,,,,,,1
rajshahi,natore,natore sadar,,,,,,1
rajshahi,natore,singra,,,,,,1
rajshahi,nawabganj,bholahat,,,,,,1
rajshahi,nawabganj,gomastapur,,,,,,1
rajshahi,nawabganj,nachole,,,,,,1
rajshahi,nawabganj,nawabganj sadar,,,,,,1
rajshahi,nawabganj,shibganj,,,,,,1
rajshahi,pabna,atgharia,,,,,,1
rajshahi,pabna,bera,,,,,,1
rajshahi,pabna,bhangura,,,,,,1
rajshahi,pabna,chatmohar,,,,,,1
rajshahi,pabna,faridpur,,,,,,1
rajshahi,pabna,ishwardi,,,,,,1
rajshahi,pabna,pabna sadar,,,,,,1
rajshahi,pabna,santhia,,,,,,1
rajshahi,pabna,sujanagar,,,,,,1
rajshahi,rajshahi,bagha,,,,,,1
rajshahi,rajshahi,baghmara,,,,,,1
rajshahi,rajshahi,charghat,,,,,,1
rajshahi,rajshahi,durgapur,,,,,,1
rajshahi,rajshahi,godagari,,,,,,1
rajshahi,rajshahi,mohanpur,,,,,,1
rajshahi,rajshahi,paba,,,,,,1
rajshahi,rajshahi,puthia,,,,,,1
rajshahi,rajshahi,tanore,,,,,,1
rajshahi,sirajganj,belkuchi,,,,,,1
rajshahi,sirajganj,chauhali,,,,,,1
rajshahi,sirajganj,kamarkhanda,,,,,,1
rajshahi,sirajganj,kazipur,,,,,,1
rajshahi,sirajganj,royganj,,,,,,1
rajshahi,sirajganj,shahjadpur,61.7,61.7,61.7,61.7,1,3
rajshahi,sirajganj,sirajganj sadar,,,,,,1
rajshahi,sirajganj,tarash,,,,,,1
rajshahi,sirajganj,ullah para,,,,,,1
rangpur,dinajpur,biral,,,,,,1
rangpur,dinajpur,birampur,,,,,,1
rangpur,dinajpur,birganj,,,,,,1
rangpur,dinajpur,bochaganj,,,,,,1
rangpur,dinajpur,chirirbandar,,,,,,1
rangpur,dinajpur,dinajpur sadar,,,,,,1
rangpur,dinajpur,fulbari,,,,,,1
rangpur,dinajpur,ghoraghat,,,,,,1
rangpur,dinajpur,hakimpur,,,,,,1
rangpur,dinajpur,kaharole,,,,,,1
rangpur,dinajpur,khansama,,,,,,1
rangpur,dinajpur,nawabganj,,,,,,1
rangpur,dinajpur,parbatipur,,,,,,1
rangpur,gaibandha,fulchhari,,,,,,1
rangpur,gaibandha,gaibandha sadar,,,,,,1
rangpur,gaibandha,gobindaganj,,,,,,1
rangpur,gaibandha,palashbari,,,,,,1
rangpur,gaibandha,sadullapur,,,,,,1
rangpur,gaibandha,saghatta,,,,,,1
rangpur,gaibandha,sundarganj,,,,,,1
rangpur,kurigram,bhurungamari,,,,,,1
rangpur,kurigram,char rajibpur,,,,,,1
rangpur,kurigram,chilmari,,,,,,1
rangpur,kurigram,kurigram sadar,,,,,,1
rangpur,kurigram,nageshwari,,,,,,1
rangpur,kurigram,phulbari,,,,,,1
rangpur,kurigram,rajarhat,,,,,,1
rangpur,kurigram,raumari,,,,,,1
rangpur,kurigram,ulipur,,,,,,1
rangpur,lalmonirhat,aditmari,,,,,,1
rangpur,lalmonirhat,hatibandha,,,,,,1
rangpur,lalmonirhat,kaliganj,,,,,,1
rangpur,lalmonirhat,lalmonirhat sadar,,,,,,1
rangpur,lalmonirhat,patgram,,,,,,1
rangpur,nilphamari,dimla,,,,,,1
rangpur,nilphamari,domar,,,,,,1
rangpur,nilphamari,jaldhaka,,,,,,1
rangpur,nilphamari,kishoreganj,,,,,,1
rangpur,nilphamari,nilphamari sadar,,,,,,1
rangpur,nilphamari,saidpur,,,,,,1
rangpur,panchagarh,atwari,,,,,,1
rangpur,panchagarh,boda,,,,,,1
rangpur,panchagarh,debiganj,,,,,,1
rangpur,panchagarh,panchagarh sadar,,,,,,1
rangpur,panchagarh,tentulia,,,,,,1
rangpur,rangpur,badarganj,,,,,,1
rangpur,rangpur,gangachara,,,,,,1
rangpur,rangpur,kaunia,,,,,,1
rangpur,rangpur,mitha pukur,,,,,,1
rangpur,rangpur,pirgachha,,,,,,1
rangpur,rangpur,pirganj,,,,,,1
rangpur,rangpur,rangpur sadar,,,,,,1
rangpur,rangpur,taraganj,,,,,,1
rangpur,thakurgaon,baliadangi,,,,,,1
rangpur,thakurgaon,haripur,,,,,,1
rangpur,thakurgaon,pirganj,,,,,,1
rangpur,thakurgaon,ranisankail,,,,,,1
rangpur,thakurgaon,thakurgaon sadar,,,,,,1
sylhet,habiganj,ajmiriganj,,,,,,1
sylhet,habiganj,bahubal,,,,,,1
sylhet,habiganj,baniachong,,,,,,1
sylhet,habiganj,chunarughat,,,,,,1
sylhet,habiganj,habiganj sadar,,,,,,1
sylhet,habiganj,lakhai,,,,,,1
sylhet,habiganj,madhabpur,,,,,,1
sylhet,habiganj,nabiganj,,,,,,1
sylhet,maulvibazar,barlekha,,,,,,1
sylhet,maulvibazar,juri,,,,,,1
sylhet,maulvibazar,kamalganj,,,,,,1
sylhet,maulvibazar,kulaura,,,,,,1
sylhet,maulvibazar,maulvibazar sadar,75.2,58.5,55,74.5,5,3
sylhet,maulvibazar,rajnagar,,,,,,1
sylhet,maulvibazar,sreemangal,,,,,,1
sylhet,sunamganj,bishwambarpur,,,,,,1
sylhet,sunamganj,chhatak,,,,,,1
sylhet,sunamganj,dakshin sunamganj,49.25625,52.85,43,55.225,16,3
sylhet,sunamganj,derai,,,,,,1
sylhet,sunamganj,dharampasha,,,,,,1
sylhet,sunamganj,dowarabazar,,,,,,1
sylhet,sunamganj,jagannathpur,,,,,,1
sylhet,sunamganj,jamalganj,,,,,,1
sylhet,sunamganj,sulla,,,,,,1
sylhet,sunamganj,sunamganj sadar,,,,,,1
sylhet,sunamganj,tahirpur,,,,,,1
sylhet,sylhet,balaganj,,,,,,1
sylhet,sylhet,beani bazar,,,,,,1
sylhet,sylhet,bishwanath,,,,,,1
sylhet,sylhet,companiganj,,,,,,1
sylhet,sylhet,dakshin surma (kotwali),,,,,,1
sylhet,sylhet,fenchuganj,,,,,,1
sylhet,sylhet,golabganj,,,,,,1
sylhet,sylhet,gowainghat,,,,,,1
sylhet,sylhet,jaintiapur,,,,,,1
sylhet,sylhet,kanaighat,,,,,,1
sylhet,sylhet,sylhet sadar (kotwali),,,,,,1
sylhet,sylhet,zakiganj,,,,,,1