div,dis,upa,uni,mou,depth,stain,arsenic,m5-msg,m5-severity,m5-lowerQ,m5-upperQ,m5-estimate
"Khulna","Chuadanga","Jiban Nagar","Simanta","Medinipur",32,Red,5,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 10 µg/L ",safe,10,10,overestimate
"Khulna","Chuadanga","Jiban Nagar","Simanta","Medinipur",40,Red,5,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 10 µg/L ",safe,10,10,overestimate
"Khulna","Chuadanga","Jiban Nagar","Simanta","Medinipur",0,Red,8.3,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 10 µg/L ",safe,10,10,overestimate
"Khulna","Chuadanga","Jiban Nagar","Simanta","Medinipur",27,Red,10.7,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 10 µg/L ",safe,10,10,underestimate
"Khulna","Chuadanga","Jiban Nagar","Simanta","Medinipur",44,Red,15,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 10 µg/L ",safe,10,10,underestimate
"Khulna","Chuadanga","Jiban Nagar","Simanta","Sankhari",14,Black,0.3,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 10 µg/L ",safe,10,10,overestimate
"Khulna","Chuadanga","Jiban Nagar","Simanta","Sankhari",23,Red,18.4,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 10 µg/L ",safe,10,10,underestimate
"Khulna","Chuadanga","Jiban Nagar","Simanta","Sankhari",30,Red,24.5,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 10 µg/L ",safe,10,10,underestimate
"Khulna","Chuadanga","Jiban Nagar","Banka","Pratappur",50,Red,66,"Your tubewell is likely to be polluted and concentration may be around 0 to 90 µg/L ",polluted,,90,accurate
"Khulna","Chuadanga","Jiban Nagar","Banka","Pratappur",20,Red,282,"Your tubewell is likely to be polluted, a chemical test is needed as concentration can be high, ranging around 10 to 130 µg/L ",polluted,10,130,underestimate
"Khulna","Chuadanga","Jiban Nagar","Banka","Pratappur",24,Red,6,"Your tubewell is likely to be polluted, a chemical test is needed as concentration can be high, ranging around 10 to 130 µg/L ",polluted,10,130,overestimate
"Khulna","Chuadanga","Jiban Nagar","Banka","Panara Sati",32,Red,16,"Your tubewell is likely to be arsenic-safe, a chemical test is needed as concentration can be high, ranging around 10 to 60 µg/L ",safe,10,60,accurate
"Khulna","Chuadanga","Jiban Nagar","Banka","Panara Sati",37,Red,11,"Your tubewell is likely to be arsenic-safe, a chemical test is needed as concentration can be high, ranging around 10 to 60 µg/L ",safe,10,60,accurate
"Khulna","Chuadanga","Jiban Nagar","Banka","Panara Sati",59,Red,8,"Your tubewell is likely to be arsenic-safe, a chemical test is needed as concentration can be high, ranging around 10 to 300 µg/L ",safe,10,300,overestimate
"Khulna","Chuadanga","Jiban Nagar","Banka","Panara Sati",50,Red,10,"Your tubewell is likely to be arsenic-safe, a chemical test is needed as concentration can be high, ranging around 10 to 300 µg/L ",safe,10,300,accurate
"Khulna","Jhenaidah","Maheshpur","Fatehpur","Chandpur",14,Black,4,"Your tubewell is likely to be arsenic-safe and concentration may be around 30 to 30 µg/L ",safe,30,30,overestimate
"Khulna","Jhenaidah","Maheshpur","Fatehpur","Chandpur",40,Red,99,"Your tubewell is likely to be arsenic-safe, a chemical test is needed as concentration can be high, ranging around 10 to 60 µg/L ",safe,10,60,underestimate
"Khulna","Jhenaidah","Maheshpur","Fatehpur","Chandpur",40,Red,140,"Your tubewell is likely to be arsenic-safe, a chemical test is needed as concentration can be high, ranging around 10 to 60 µg/L ",safe,10,60,underestimate
"Khulna","Jhenaidah","Maheshpur","Fatehpur","Chandpur",37,Red,139,"Your tubewell is likely to be arsenic-safe, a chemical test is needed as concentration can be high, ranging around 10 to 60 µg/L ",safe,10,60,underestimate
"Khulna","Jhenaidah","Maheshpur","Fatehpur","Chandpur",15,Red,82,"Your tubewell is likely to be arsenic-safe and concentration may be around 30 to 30 µg/L ",safe,30,30,underestimate
"Khulna","Jhenaidah","Maheshpur","Fatehpur","Chandpur",17,Black,1,"Your tubewell is likely to be arsenic-safe",safe,10,60,overestimate
"Khulna","Jhenaidah","Maheshpur","Fatehpur","Purandapur",18,Red,8,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 30 µg/L ",safe,10,30,overestimate
"Khulna","Jhenaidah","Maheshpur","Fatehpur","Purandapur",18,Red,67,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 30 µg/L ",safe,10,30,underestimate
"Khulna","Jhenaidah","Maheshpur","Fatehpur","Purandapur",40,Red,23.1,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 30 µg/L ",safe,10,30,accurate
"Khulna","Jhenaidah","Maheshpur","Fatehpur","Purandapur",44,Red,27.1,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 30 µg/L ",safe,10,30,accurate
"Khulna","Jhenaidah","Maheshpur","S.k.b.(sundarpur)","Bazrapur",15,Red,58,"Your tubewell is likely to be HIGHLY polluted and concentration may be around 10 to 10 µg/L ",highlyPolluted,10,10,underestimate
"Khulna","Jhenaidah","Maheshpur","S.k.b.(sundarpur)","Bazrapur",21,Black,40.5,"Your tubewell is likely to be arsenic-safe",safe,10,30,underestimate
"Khulna","Jhenaidah","Maheshpur","S.k.b.(sundarpur)","Bazrapur",46,Red,39.6,"Your tubewell is likely to be polluted, a chemical test is needed as concentration can be high, ranging around 10 to 130 µg/L ",polluted,10,130,accurate
"Khulna","Jhenaidah","Maheshpur","S.k.b.(sundarpur)","Bazrapur",17,Red,33.7,"Your tubewell is likely to be arsenic-safe, a chemical test is needed as concentration can be high, ranging around 10 to 30 µg/L ",safe,10,30,underestimate
"Khulna","Jhenaidah","Maheshpur","S.k.b.(sundarpur)","Bazrapur",15,Black,2.6,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 10 µg/L ",safe,10,10,overestimate
"Khulna","Jhenaidah","Kotchandpur","Baluhar","Ramchandrapur",58,Black,0.6,"Your tubewell is likely to be arsenic-safe",safe,10,30,overestimate
"Khulna","Jhenaidah","Kotchandpur","Baluhar","Ramchandrapur",37,Red,31.8,"Your tubewell is likely to be polluted, a chemical test is needed as concentration can be high, ranging around 10 to 60 µg/L ",polluted,10,60,accurate
"Khulna","Jhenaidah","Kotchandpur","Baluhar","Ramchandrapur",58,Black,0.3,"Your tubewell is likely to be arsenic-safe",safe,10,30,overestimate
"Khulna","Jhenaidah","Kotchandpur","Elangi","Elangi",30,Red,42,"Your tubewell is likely to be arsenic-safe, a chemical test is needed as concentration can be high, ranging around 10 to 50 µg/L ",safe,10,50,accurate
"Khulna","Jhenaidah","Kotchandpur","Elangi","Elangi",49,Black,2.8,"Your tubewell is likely to be arsenic-safe",safe,10,30,overestimate
"Khulna","Jhenaidah","Kotchandpur","Elangi","Elangi",64,Black,5,"Your tubewell is likely to be arsenic-safe",safe,10,30,overestimate
"Khulna","Jhenaidah","Kotchandpur","Elangi","Elangi",78,Red,87,"Your tubewell is likely to be arsenic-safe, a chemical test is needed as concentration can be high, ranging around 10 to 90 µg/L ",safe,10,90,accurate
"Khulna","Jhenaidah","Kotchandpur","Elangi","Elangi",55,Black,2,"Your tubewell is likely to be arsenic-safe",safe,10,30,overestimate
"Khulna","Jhenaidah","Kotchandpur","Elangi","Elangi",58,Black,0,"Your tubewell is likely to be arsenic-safe",safe,10,30,overestimate
"Khulna","Jhenaidah","Kotchandpur","Elangi","Elangi",44,Black,0,"Your tubewell is likely to be arsenic-safe",safe,10,50,overestimate
"Khulna","Jhenaidah","Kaliganj","Trilochanpur","Bara Ghighati",55,Black,59,"Your tubewell is likely to be arsenic-safe",safe,10,10,underestimate
"Khulna","Jhenaidah","Kaliganj","Trilochanpur","Bara Ghighati",56,Red,24,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 10 µg/L ",safe,10,10,underestimate
"Khulna","Jhenaidah","Kaliganj","Trilochanpur","Bara Ghighati",50,Black,29,"Your tubewell is likely to be arsenic-safe",safe,10,10,underestimate
"Khulna","Jhenaidah","Kaliganj","Trilochanpur","Bara Ghighati",43,Black,43,"Your tubewell is likely to be arsenic-safe",safe,10,10,underestimate
"Khulna","Jhenaidah","Kaliganj","Trilochanpur","Bara Ghighati",50,Black,0,"Your tubewell is likely to be arsenic-safe",safe,10,10,overestimate
"Khulna","Jhenaidah","Kaliganj","Simla Rokonpur","Ishwarba",24,Red,6,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 30 µg/L ",safe,10,30,overestimate
"Khulna","Jhenaidah","Kaliganj","Simla Rokonpur","Ishwarba",27,Red,8,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 30 µg/L ",safe,10,30,overestimate
"Khulna","Jhenaidah","Kaliganj","Simla Rokonpur","Ishwarba",38,Red,11,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 30 µg/L ",safe,10,30,accurate
"Khulna","Jhenaidah","Kaliganj","Simla Rokonpur","Ishwarba",43,Black,7,"Your tubewell is likely to be arsenic-safe",safe,10,30,overestimate
"Khulna","Jhenaidah","Kaliganj","Niamatpur","Ghoshnagar",56,Black,0.2,"Your tubewell is likely to be arsenic-safe",safe,10,50,overestimate
"Khulna","Jhenaidah","Kaliganj","Niamatpur","Ghoshnagar",30,Red,52.4,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 30 µg/L ",safe,10,30,underestimate
"Khulna","Jhenaidah","Kaliganj","Niamatpur","Ghoshnagar",52,Red,7.3,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 50 µg/L ",safe,10,50,overestimate
"Khulna","Jhenaidah","Kaliganj","Niamatpur","Ghoshnagar",49,Red,36.3,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 50 µg/L ",safe,10,50,accurate
"Khulna","Jhenaidah","Kaliganj","Niamatpur","Niamatpur",43,Red,36.7,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 30 µg/L ",safe,10,30,underestimate
"Khulna","Jhenaidah","Kaliganj","Niamatpur","Niamatpur",52,Red,30.6,"Your tubewell is likely to be arsenic-safe and concentration may be around 10 to 50 µg/L ",safe,10,50,accurate
"Khulna","Jhenaidah","Kaliganj","Niamatpur","Raghunathpur",56,Red,70.4,"Your tubewell is likely to be arsenic-safe and concentration may be around 0 to 30 µg/L ",safe,,30,underestimate
"Khulna","Jhenaidah","Kaliganj","Kola","Kola",43,Black,0.3,"Your tubewell is likely to be arsenic-safe",safe,,10,accurate
"Khulna","Jhenaidah","Kaliganj","Kola","Kola",52,Black,0.2,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Jhenaidah","Kaliganj","Kola","Kola",49,Black,0.1,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Jhenaidah","Kaliganj","Kola","Kola",49,Black,0.4,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Jhenaidah","Kaliganj","Kola","Kola",18,Red,40.4,"Your tubewell is likely to be arsenic-safe and concentration may be around 0 to 10 µg/L ",safe,,10,underestimate
"Khulna","Jhenaidah","Kaliganj","Kola","Madhyapur",55,Red,91,"Your tubewell is likely to be arsenic-safe and concentration may be around 0 to 30 µg/L ",safe,,30,underestimate
"Khulna","Jhenaidah","Kaliganj","Kola","Madhyapur",55,Black,0,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Jhenaidah","Kaliganj","Kola","Khalkula",44,Black,0,"Your tubewell is likely to be arsenic-safe",safe,,10,accurate
"Khulna","Jhenaidah","Kaliganj","Kola","Madhyapur",41,Black,1,"Your tubewell is likely to be arsenic-safe",safe,,60,accurate
"Khulna","Jhenaidah","Kaliganj","Kola","Pariat",49,Black,0.3,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Jhenaidah","Kaliganj","Kola","Sarabaria",49,Black,248.9,"Your tubewell is likely to be arsenic-safe",safe,,30,underestimate
"Khulna","Jhenaidah","Kaliganj","Kola","Sarabaria",64,Black,0.2,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Jhenaidah","Kaliganj","Kola","Sarabaria",49,Black,0.3,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Jhenaidah","Kaliganj","Kola","Sarabaria",46,Black,0.1,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Jhenaidah","Kaliganj","Kola","Sarabaria",55,Black,0.5,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Magura","Shalikha","Dhaneshwargati","Tilkhari",55,Black,0,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Magura","Shalikha","Dhaneshwargati","Tilkhari",29,Black,0,"Your tubewell is likely to be arsenic-safe",safe,,60,accurate
"Khulna","Magura","Shalikha","Dhaneshwargati","Tilkhari",50,Black,0,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Magura","Shalikha","Dhaneshwargati","Tilkhari",52,Black,0,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Magura","Shalikha","Dhaneshwargati","Tilkhari",58,Black,1,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Magura","Shalikha","Dhaneshwargati","Tilkhari",55,Black,10,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Magura","Shalikha","Dhaneshwargati","Singra",61,Black,9,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Magura","Shalikha","Talkhari","Bhulbaria",49,Black,1,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Magura","Shalikha","Talkhari","Bhulbaria",49,Black,0,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Magura","Shalikha","Talkhari","Satanfuria",55,Black,1,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Magura","Shalikha","Talkhari","Satanfuria",56,Black,1,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Magura","Shalikha","Talkhari","Satanfuria",49,Red,25,"Your tubewell is likely to be arsenic-safe and concentration may be around 0 to 30 µg/L ",safe,,30,accurate
"Khulna","Magura","Shalikha","Talkhari","Satanfuria",50,Black,1030,"Your tubewell is likely to be arsenic-safe",safe,,30,underestimate
"Khulna","Magura","Shalikha","Talkhari","Satanfuria",50,Black,1,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Magura","Shalikha","Talkhari","Satanfuria",58,Black,4,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Magura","Shalikha","Talkhari","Satanfuria",46,Black,0,"Your tubewell is likely to be arsenic-safe",safe,,30,accurate
"Khulna","Magura","Shalikha","Talkhari","Uchgram",58,Red,75,"Your tubewell is likely to be HIGHLY polluted and concentration may be around 50 to 100 µg/L ",highlyPolluted,50,100,accurate
